word,trans
የሆነ, yähonä
ገና, gäna
ነገድ, nägäd
ከዚያም, käziyam
ሌላ, lela
እኛ, 'ña
ከእርሱም, kä'rsum
አሥራ, 'äśra
የእስራኤልም, yä'sra'elm
ቍርባን, qʷrban
ሄደ, hedä
የሰው, yäsäw
ሴቶች, setoč
ንጉሡ, nguśu
ናት, nat
ከተሞች, kätämoč
በዚያን, bäziyan
የእግዚአብሔርም, yä'gzi'äbħerm
ትንቢተ, tnbitä
ሙሴም, musem
ሕዝቡም, ħzbum
አራት, 'ärat
አንተም, 'äntäm
ከእናንተ, kä'nantä
ከእነርሱ, kä'närsu
ተራራ, tärara
እስራኤል, 'sra'el
በኢየሩሳሌም, bä'iyärusalem
ወይስ, wäys
ኦሪት, 'orit
ሆኖ, hono
ያለው, yaläw
የሠራዊት, yäśärawit
ምንም, mnm
እርስዋም, 'rswam
ሙሴን, musen
እንጀራ, 'nǧära
ሀያ, häya
ለእስራኤል, lä'sra'el
ወር, wär
ይህም, yhm
ነገሥታት, nägäśtat
ብቻ, bča
ከእስራኤል, kä'sra'el
ምንድር, mndr
ልብ, lb
ክብር, kbr
ዕቃ, ʕqa
መልሶ, mälso
ሕግ, ħg
በእኔ, bä'ne
ወለደ, wälädä
ቅዱስ, qdus
ኪዳን, kidan
ደም, däm
ስለዚህም, släzihm
ኢየሩሳሌም, 'iyärusalem
ድንኳን, dnkʷan
በቀር, bäqär
ደቀ, däqä
መጡ, mäTu
በይሁዳ, bäyhuda
በእውነት, bä'wnät
ከእነርሱም, kä'närsum
ሲል, sil
በውኑ, bäwnu
ትእዛዝ, t'zaz
ራስ, ras
አለኝ, 'äläñ
ከዚህ, käzih
ስድስት, sdst
እርስ, 'rs
እንኳ, 'nkʷa
አድርጎ, 'ädrgo
የእስራኤልን, yä'sra'eln
ወንጌል, wängel
በአንድ, bä'änd
በር, bär
እውነት, 'wnät
ባለ, balä
ፍሬ, fre
ሥጋ, śga
ባለው, baläw
በእናንተ, bä'nantä
እንዲሁም, 'ndihum
ርስት, rst
አንዱ, 'ändu
እሳት, 'sat
ነገሠ, nägäśä
አውራ, 'äwra
የወይን, yäwäyn
ም, m
ተስፋ, täsfa
አደረጉ, 'ädärägu
እናንተም, 'nantäm
ሚስት, mist
በአንተ, bä'äntä
በእሳት, bä'sat
ከዚያ, käziya
ቤተ, betä
ልብስ, lbs
ነህ, näh
አምላክህ, 'ämlakh
በሕይወት, bäħywät
ጊዜም, gizem
ስሙ, smu
ይሆናሉ, yhonalu
ይህንም, yhnm
በምድረ, bämdrä
ባሕር, baħr
ዛፍ, zaf
መንግሥት, mängśt
ሕዝቡ, ħzbu
መጽሐፍ, mäṣħäf
ምድረ, mdrä
አሳልፎ, 'äsalfo
በፊቱ, bäfitu
ወጡ, wäTu
ለምን, lämn
ሄዱ, hedu
ባሪያዎች, bariyawoč
ሆንሁ, honhu
አሥር, 'äśr
ተናገረው, tänagäräw
ልጁ, lǧu
ፍርድ, frd
አባት, 'äbat
ለአንተ, lä'äntä
አማልክት, 'ämalkt
ሕዝቡን, ħzbun
ፋንታ, fanta
በእግዚአብሔርም, bä'gzi'äbħerm
ድንጋይ, dngay
ካህኑም, kahnum
ቤቶች, betoč
ሕያው, ħyaw
ሁሉን, hulun
ሠላሳ, śälasa
እስራኤልም, 'sra'elm
ባሪያ, bariya
ሂድ, hid
ይመጣል, ymäTal
ተናገረ, tänagärä
ወንድሞች, wändmoč
እንዲሆን, 'ndihon
ነፍስ, näfs
ወንድ, wänd
1ኛ, 1ña
ጠጅ, Täǧ
ታቦት, tabot
በግ, bäg
በፊትህ, bäfith
ወራት, wärat
ሞተ, motä
አፍ, 'äf
መልአክ, mäl'äk
አርባ, 'ärba
ሆነው, honäw
ሠራ, śära
ሰውም, säwm
ዳርቻ, darča
ኤርምያስ, 'ermyas
ሳለ, salä
ወርቅ, wärq
ሰይፍ, säyf
በእርሱም, bä'rsum
በላይ, bälay
ከሰማይ, käsämay
ሳኦልም, sa'olm
ወዲህ, wädih
ትንቢት, tnbit
አላት, 'älat
አየሁ, 'äyähu
አንቺ, 'änči
ለእኔ, lä'ne
አምሳ, 'ämsa
ሙሴ, muse
አይደለምን, 'äydälämn
ጥቂት, Tqit
መጠን, mäTän
ብለህ, bläh
ቍጣ, qʷTa
ወስዶ, wäsdo
ነበረች, näbäräč
ሁልጊዜ, hulgize
ያህል, yahl
ከእኛ, kä'ña
መሠዊያ, mäśäwiya
አስቀድሞ, 'äsqädmo
2ኛ, 2ña
ብዬ, bye
ሁሉም, hulum
አድርግ, 'ädrg
ተቀመጠ, täqämäTä
ርኩስ, rkus
በሰይፍ, bäsäyf
በጎች, bägoč
እኔን, 'nen
አለች, 'äläč
ይሁዳ, yhuda
ሰቅል, säql
ሰላም, sälam
እላችኋለሁ, 'lačḫʷalähu
ብርሃን, brhan
ዝም, zm
ብዛት, bzat
ተቀመጡ, täqämäTu
ፈጽሞ, fäṣmo
ዙሪያ, zuriya
መጥቶ, mäTto
ዓለም, ʕaläm
ምሳሌ, msale
ለእናንተ, lä'nantä
ልጄ, lǧe
ይዞ, yzo
ክፍል, kfl
ከቶ, käto
ላከ, lakä
በኢየሩሳሌምም, bä'iyärusalemm
ወዴት, wädet
የነበረውን, yänäbäräwn
ሆኑ, honu
ከእንግዲህ, kä'ngdih
ከምድር, kämdr
ጌታዬ, getaye
አደባባይ, 'ädäbabay
ያደርጋል, yadärgal
ሥርዓት, śrʕat
ካህናት, kahnat
ሁለቱ, hulätu
ሌሊት, lelit
ምክንያት, mknyat
ሕይወት, ħywät
ከግብፅ, kägbṩ
አደርጋለሁ, 'ädärgalähu
ሽማግሌዎች, šmaglewoč
መጥተው, mäTtäw
በታላቅ, bätalaq
የወርቅ, yäwärq
በንጉሡ, bänguśu
ገባ, gäba
እርሱን, 'rsun
እስራኤልን, 'sra'eln
ምልክት, mlkt
ከዚህም, käzihm
የይሁዳ, yäyhuda
ለእርሱ, lä'rsu
ከንቱ, käntu
ኃይል, ḫayl
በእጁ, bä'ǧu
ራሱን, rasun
ተብሎ, täblo
እርስዋ, 'rswa
ተመለሱ, tämäläsu
ሰማይ, sämay
ዳዊትን, dawitn
ስንኳ, snkʷa
በግብፅ, bägbṩ
ወንዝ, wänz
እንጨት, 'nČät
አምላኬ, 'ämlake
ውጭ, wČ
ንጹሕ, nṣuħ
በክርስቶስ, bäkrstos
ተነሣ, tänäśa
ትውልድ, twld
በፊት, bäfit
የሆነውን, yähonäwn
እኛም, 'ñam
ጻድቅ, ṣadq
ይሆን, yhon
ይኖራል, ynoral
ሰፈሩ, säfäru
አይሁድ, 'äyhud
አልነበረም, 'älnäbäräm
ይቅር, yqr
እነዚህን, 'näzihn
ኢያሱ, 'iyasu
እንደዚህ, 'ndäzih
ሠራዊት, śärawit
እንዳለ, 'ndalä
ካህኑ, kahnu
በምድርም, bämdrm
ብላ, bla
ወጥቶ, wäTto
ሸለቆ, šäläqo
ያሉትን, yalutn
በአሕዛብ, bä'äħzab
ወሰደ, wäsädä
ቍጥር, qʷTr
ይህች, yhč
ዘር, zär
እጁን, 'ǧun
አልሁ, 'älhu
አንዳች, 'ändač
መከራ, mäkära
በሰማይ, bäsämay
ሳሙኤል, samu'el
ፈቀቅ, fäqäq
ሰጣቸው, säTačäw
ቆሞ, qomo
በሉ, bälu
መቅደስ, mäqdäs
እያሉ, 'yalu
ማዶ, mado
ያዕቆብም, yaʕqobm
አንዲት, 'ändit
ብር, br
ያን, yan
በኢየሱስ, bä'iyäsus
እግዚአብሔርንም, 'gzi'äbħernm
የነበሩትን, yänäbärutn
ዳር, dar
ጉባኤ, guba'e
መዛሙርቱ, mäzamurtu
ሞት, mot
በሰው, bäsäw
ያ, ya
ሰዎችም, säwočm
መስፈሪያ, mäsfäriya
አለችው, 'äläčw
እያንዳንዱ, 'yandandu
ሰሎሞን, sälomon
የሚል, yämil
ሰጠው, säTäw
በል, bäl
ተቀምጦ, täqämTo
ይዘው, yzäw
ዓይን, ʕayn
የነበሩ, yänäbäru
በፊቴ, bäfite
በአሥራ, bä'äśra
ኢያሱም, 'iyasum
ነፋስ, näfas
አንተን, 'äntän
ፈቃድ, fäqad
ያሉት, yalut
በአንድነት, bä'ändnät
ነውን, näwn
በእነርሱ, bä'närsu
በመሠዊያው, bämäśäwiyaw
አየ, 'äyä
ቀንም, qänm
ነፍሴ, näfse
ነን, nän
ነገርን, nägärn
ምስክር, mskr
አድርገው, 'ädrgäw
በመንገድ, bämängäd
የምድር, yämdr
በዚህም, bäzihm
በብዙ, bäbzu
ባድማ, badma
በጌታ, bägeta
ካህን, kahn
ምድርን, mdrn
ተነሥቶ, tänäśto
እነዚህም, 'näzihm
ክፋት, kfat
በእስራኤልም, bä'sra'elm
ዘይት, zäyt
አሳብ, 'äsab
ሰዓት, säʕat
መለሰ, mäläsä
ይላሉ, ylalu
አምላካችን, 'ämlakačn
አዘዘ, 'äzäzä
ለንጉሡ, länguśu
ምድርም, mdrm
መቼ, mäče
ስማ, sma
በሕዝቡ, bäħzbu
ወደዚህ, wädäzih
የእግዚአብሔርንም, yä'gzi'äbħernm
ወገኖች, wägänoč
ሰሎሞንም, sälomonm
ናችሁ, načhu
ጠርቶ, Tärto
ስምንት, smnt
ሰልፍ, sälf
በከንቱ, bäkäntu
ቅን, qn
ኃጢአትን, ḫaTi'ätn
ነኝና, näñna
ቅጥር, qTr
የዘላለም, yäzälaläm
አድርጉ, 'ädrgu
ኢሳይያስ, 'isayyas
የነበሩት, yänäbärut
ጥበብ, Tbäb
ቤቱ, betu
ያሉ, yalu
በባሕር, bäbaħr
ሰውን, säwn
ሂዱ, hidu
ታውቃላችሁ, tawqalačhu
ራእይ, ra'y
አንዱን, 'ändun
ሰባ, säba
አምላካችሁ, 'ämlakačhu
ካለው, kaläw
ለዳዊት, lädawit
በሌሊት, bälelit
ወዲያ, wädiya
ጸጋ, ṣäga
ወይን, wäyn
ባሪያህ, bariyah
በእጅህ, bä'ǧh
በቤቱ, bäbetu
በመንፈስ, bämänfäs
ወዳለው, wädaläw
ና, na
ደጅ, däǧ
ወረደ, wärädä
ከእስራኤልም, kä'sra'elm
ዮሴፍም, yosefm
ሥልጣን, ślTan
ነውር, näwr
የዚያን, yäziyan
ነገሥት, nägäśt
እርሻ, 'rša
በራሱ, bärasu
ከይሁዳ, käyhuda
ጳውሎስ, Pawlos
በስተ, bästä
ዕለት, ʕlät
በውኃ, bäwḫa
ጽድቅ, ṣdq
የሚቃጠለውን, yämiqaTäläwn
ዳሩ, daru
ግንብ, gnb
አንዱም, 'ändum
በልቡ, bälbu
በሆነ, bähonä
ነፍሴን, näfsen
ይሁኑ, yhunu
የተቀደሰ, yätäqädäsä
መዋዕል, mäwaʕl
ዜና, zena
ለሰው, läsäw
ባየ, bayä
ናቸውና, načäwna
ፍቅር, fqr
ቆመው, qomäw
እጅግም, 'ǧgm
በዮርዳኖስ, bäyordanos
ሳሙኤልም, samu'elm
ጕድጓድ, gʷdgʷad
ለፊት, läfit
ቢኖር, binor
ደስታ, dästa
በትር, bätr
ሁለቱን, hulätun
ልዩ, lyu
ራሱ, rasu
ልብሱን, lbsun
ነቢይ, näbiy
ቦታ, bota
በዓል, bäʕal
በእኛ, bä'ña
ወንድም, wändm
ለሕዝቡ, läħzbu
ባቢሎን, babilon
በደል, bädäl
ይወጣል, ywäTal
ሰጠ, säTä
እባክህ, 'bakh
መብል, mäbl
በፍጹም, bäfṣum
ኃያላን, ḫayalan
አሳልፌ, 'äsalfe
አባቴ, 'äbate
ሆነች, honäč
ደጃፍ, däǧaf
ቀኝ, qäñ
ፍርድን, frdn
የብር, yäbr
ዙፋን, zufan
የነበረው, yänäbäräw
በፊታቸው, bäfitačäw
ቃሉን, qalun
ቅዱሳን, qdusan
እንዳዘዘው, 'ndazäzäw
ልጁን, lǧun
ነበሩት, näbärut
ይሁዳም, yhudam
ወንዶች, wändoč
ይህችን, yhčn
ምክር, mkr
ከሆነ, kähonä
ወደዚያ, wädäziya
እግር, 'gr
ብዙዎች, bzuwoč
ተናገር, tänagär
ንጉሡን, nguśun
እርሱንም, 'rsunm
ከግብጽ, kägbṣ
ልጆችም, lǧočm
ይሰጣል, ysäTal
ሳኦል, sa'ol
ተናገሩ, tänagäru
ኢየሱስን, 'iyäsusn
ምርኮ, mrko
ትሆናለች, thonaläč
የሚሆን, yämihon
ከሰው, käsäw
በርሳቸው, bärsačäw
በመካከላቸው, bämäkakälačäw
ሁለቱም, hulätum
በሰማ, bäsäma
የሚያደርግ, yämiyadärg
ሰማ, säma
መዝሙረ, mäzmurä
ገንዘብ, gänzäb
ከእርስዋ, kä'rswa
ገቡ, gäbu
ጮኸ, ČoKä
በላቸው, bälačäw
ተመለሰ, tämäläsä
ውሰድ, wsäd
ዕጣ, ʕTa
ዛሬም, zarem
አዲስ, 'ädis
መቃብር, mäqabr
ስጦታ, sTota
ስድሳ, sdsa
አይሆንም, 'äyhonm
መዛሙርቱም, mäzamurtum
ያውቃሉ, yawqalu
መጀመሪያ, mäǧämäriya
ጠቦት, Täbot
ኑ, nu
ርኵሰት, rkʷsät
ተነሡ, tänäśu
ገብቶ, gäbto
አንበሳ, 'änbäsa
ወንዶችና, wändočna
አም, 'äm
ቃሌን, qalen
አሜን, 'ämen
በእርስዋም, bä'rswam
ከሕዝቡ, käħzbu
የሚችል, yämičl
ጭፍራ, Čfra
ጣፋጭ, TafaČ
አውቃለሁ, 'äwqalähu
ምናልባት, mnalbat
አሮንም, 'äronm
ሳሉ, salu
የዮሐንስ, yäyoħäns
ለእግዚአብሔርም, lä'gzi'äbħerm
ጨለማ, Čäläma
በመገናኛው, bämägänañaw
አለን, 'älän
ማኅበር, maḫbär
ነበረና, näbäräna
ሜዳ, meda
መግቢያ, mägbiya
ያደረገውን, yadärägäwn
ያዕቆብ, yaʕqob
አይቶ, 'äyto
እላለሁ, 'lalähu
ጆሮ, ǧoro
በዳዊት, bädawit
ሰደደ, sädädä
የዳዊት, yädawit
ጀመር, ǧämär
ነቢያት, näbiyat
የይሁዳም, yäyhudam
የአንድ, yä'änd
ተሰበሰቡ, täsäbäsäbu
ልጁም, lǧum
በእምነት, bä'mnät
ዋጋ, waga
ገደለ, gädälä
ባዩ, bayu
እድል, 'dl
ጥላ, Tla
በእርስዋ, bä'rswa
መጋረጃ, mägaräǧa
አድርጌ, 'ädrge
ተነሥተው, tänäśtäw
ዘፍጥረት, zäfTrät
ሰላምታ, sälamta
ሕዝቅኤል, ħzq'el
ጋሻ, gaša
ሕዝቡንም, ħzbunm
እሰጣለሁ, 'säTalähu
ዮሐንስ, yoħäns
በዙሪያው, bäzuriyaw
ሁላችሁ, hulačhu
ተናገራቸው, tänagäračäw
ድንበር, dnbär
ጴጥሮስም, PeTrosm
ቆመ, qomä
ሌዋውያን, lewawyan
አራዊት, 'ärawit
በእርግጥ, bä'rgT
መታ, mäta
የበግ, yäbäg
መሥዋዕትና, mäśwaʕtna
ከሁሉ, kähulu
ሰዎችን, säwočn
አብ, 'äb
በመጣ, bämäTa
ልጅም, lǧm
ተራሮች, täraroč
ጽኑ, ṣnu
ፀሐይ, ṩäħäy
ሰማሁ, sämahu
ወለደች, wälädäč
ጠጕር, Tägʷr
ጠራው, Täraw
ሰማያት, sämayat
አሕዛብን, 'äħzabn
እንስሳ, 'nssa
የሚሆነውን, yämihonäwn
የኢየሱስ, yä'iyäsus
ግብጽ, gbṣ
ፈርዖንም, färʕonm
በሰሙ, bäsämu
በእነርሱም, bä'närsum
ጮኹ, ČoKu
ወደቀ, wädäqä
የባቢሎን, yäbabilon
ይወድቃሉ, ywädqalu
በምን, bämn
ቅሬታ, qreta
በጎ, bägo
ወሬ, wäre
ዱቄት, duqet
ነበረው, näbäräw
አገልግሎት, 'ägälglot
ሁሉንም, hulunm
በሙሴ, bämuse
ካህናቱም, kahnatum
ድሀ, dhä
ሁለተኛው, hulätäñaw
እሄዳለሁ, 'hedalähu
አሮንን, 'äronn
ታሪክ, tarik
የታመነ, yätamänä
ሳይሆን, sayhon
የእሳት, yä'sat
ያደርግ, yadärg
ከኢየሩሳሌም, kä'iyärusalem
ማናቸውም, manačäwm
አሕዛብም, 'äħzabm
ከእኔም, kä'nem
ተባት, täbat
ሁኑ, hunu
ወጥተው, wäTtäw
በመልካም, bämälkam
አጠፋለሁ, 'äTäfalähu
መምህር, mämhr
መክሊት, mäklit
ይመጣሉ, ymäTalu
ሰፈር, säfär
ጴጥሮስ, PeTros
በየወገናቸው, bäyäwägänačäw
ጥፋት, Tfat
ነገ, nägä
የሆነው, yähonäw
አባቱ, 'äbatu
ተጻፈ, täṣafä
ዘላለም, zälaläm
አብርሃምም, 'äbrhamm
በአንቺ, bä'änči
አስብ, 'äsb
ደረሰ, däräsä
እንቢ, 'nbi
በሰሜን, bäsämen
ዳግመኛ, dagmäña
ሠሩ, śäru
ፍየል, fyäl
በመጀመሪያው, bämäǧämäriyaw
ሕዝቤ, ħzbe
በኵር, bäkʷr
ይለዋል, yläwal
ዮሴፍ, yosef
ለልጅ, lälǧ
እጅህን, 'ǧhn
ኢዮብ, 'iyob
ዳንኤል, dan'el
በግብጽ, bägbṣ
አመጡ, 'ämäTu
ፍልስጥኤማውያንም, flsT'emawyanm
በደቡብ, bädäbub
ን, n
ሙሉ, mulu
የተሠራ, yätäśära
ካህናቱ, kahnatu
ስብ, sb
ሸሹ, šäšu
እምነት, 'mnät
ኢዮአብም, 'iyo'äbm
ነፍሱን, näfsun
ብላችሁ, blačhu
ታላቁ, talaqu
መሰምርያዋን, mäsämryawan
የሆኑ, yähonu
ቆሙ, qomu
በእጃቸው, bä'ǧačäw
ይላልና, ylalna
ጠቦቶች, Täbotoč
የእስራኤልንም, yä'sra'elnm
ምንጭ, mnČ
ፍርሃት, frhat
በርሳችሁ, bärsačhu
ወይፈን, wäyfän
ይጠፋል, yTäfal
ወደቁ, wädäqu
የጌታ, yägeta
ላሉት, lalut
በሁሉ, bähulu
ዘወር, zäwär
በይሁዳም, bäyhudam
ታደርጋለህ, tadärgaläh
ወፎች, wäfoč
አለቆችና, 'äläqočna
ሆናችሁ, honačhu
ነቢዩ, näbiyu
ዛፎች, zafoč
ተቀምጠው, täqämTäw
የይሁዳን, yäyhudan
በላያቸው, bälayačäw
ይሄዳል, yhedal
የሚኖሩ, yäminoru
የሚቃጠል, yämiqaTäl
አብርሃም, 'äbrham
አለፈ, 'äläfä
ክርስቲያን, krstiyan
ዘጸአት, zäṣä'ät
ሙሴና, musena
ጠብቅ, Täbq
እጁንም, 'ǧunm
ወልደ, wäldä
እለምንሃለሁ, 'lämnhalähu
ከአባቶቹ, kä'äbatoču
ፈንታ, fänta
ብቻውን, bčawn
ፍጹም, fṣum
በጽዮን, bäṣyon
የንጉሡ, yänguśu
ከብዙ, käbzu
መልካሙን, mälkamun
ከክፉ, käkfu
ወዲያውም, wädiyawm
በሥጋ, bäśga
ዘህልቍ, zählqʷ
ያደርጉ, yadärgu
በባቢሎን, bäbabilon
ሚዛን, mizan
ምድሪቱን, mdritun
ለሚቃጠል, lämiqaTäl
ልጆቹ, lǧoču
ልኮ, lko
ሌሎች, leloč
አለቆችም, 'äläqočm
ውጣ, wTa
በጽድቅ, bäṣdq
ዘወትር, zäwätr
ጠቢብ, Täbib
የካህናት, yäkahnat
አሮን, 'äron
ሕዝቅያስ, ħzqyas
ምስል, msl
ጠብቁ, Täbqu
ትሆናለህ, thonaläh
ለእስራኤልም, lä'sra'elm
ጩኸት, ČuKät
መሬት, märet
ወርዱም, wärdum
ለዚህ, läzih
ስሙንም, smunm
ለኃጢአት, läḫaTi'ät
በሰባተኛው, bäsäbatäñaw
ሴቲቱም, setitum
ሰጡ, säTu
በከተማይቱ, bäkätämaytu
በደስታ, bädästa
ልቤ, lbe
ሽታ, šta
የያዕቆብ, yäyaʕqob
ግምጃ, gmǧa
ለእኛ, lä'ña
ሰዎቹም, säwočum
የለምና, yälämna
ይናገራል, ynagäral
ኖሮ, noro
ሰምተው, sämtäw
ከአንተም, kä'äntäm
አንጻር, 'änṣar
ፍጻሜ, fṣame
ከጥሩ, käTru
ናቡከደነፆር, nabukädänäṩor
አንሥቶ, 'änśto
ሌሎችን, leločn
ማታ, mata
በእነዚህ, bä'näzih
በምሥራቅ, bämśraq
አትፍሩ, 'ätfru
ልጆችና, lǧočna
ስምዖን, smʕon
የእኔ, yä'ne
ሰምቶ, sämto
ነገሩት, nägärut
አደረገው, 'ädärägäw
ከንጉሡ, känguśu
አይችልም, 'äyčlm
ሊቀ, liqä
ነገረው, nägäräw
ርዝመቱ, rzmätu
ወዲያው, wädiyaw
ቀድሞ, qädmo
ከሙታን, kämutan
ክፉን, kfun
ጥሩ, Tru
ዝናብ, znab
ይሞታል, ymotal
በሰንበት, bäsänbät
ሸክም, šäkm
አዎን, 'äwon
ውጡ, wTu
መቅደሱ, mäqdäsu
ይናገራሉ, ynagäralu
የም, yäm
በዳም, bädam
ምሥራቅ, mśraq
ተመልከት, tämälkät
እንዳለው, 'ndaläw
ፈርዖን, färʕon
ዘጠኝ, zäTäñ
በዚህች, bäzihč
ተጕዘው, tägʷzäw
ሞገስ, mogäs
አንተና, 'äntäna
ጽድቅን, ṣdqn
ኖረ, norä
የነበረ, yänäbärä
ድር, dr
ከእነዚህ, kä'näzih
አድርገህ, 'ädrgäh
አዘዛቸው, 'äzäzačäw
ራብ, rab
ውኃም, wḫam
ማለት, malät
ተመልሶ, tämälso
የለውም, yäläwm
ለዘላለምም, läzälalämm
ፈሳሽ, fäsaš
የሰውን, yäsäwn
ላይም, laym
ራሳቸውን, rasačäwn
ሺህም, šihm
ያውቃል, yawqal
ልጆቹም, lǧočum
ማደሪያ, madäriya
ነህና, nähna
ግብፅ, gbṩ
ቸርነት, čärnät
በዚያች, bäziyač
በጨለማ, bäČäläma
መዝሙር, mäzmur
በረከት, bäräkät
የአሕዛብ, yä'äħzab
እህል, 'hl
ሆኖአል, hono'äl
ዓይነት, ʕaynät
ከወሩም, käwärum
ምሕረቱ, mħrätu
ለማድረግ, lämadräg
ከአንቺ, kä'änči
ኃያል, ḫayal
ይበላል, ybälal
ተጠንቀቁ, täTänqäqu
ይሆናልና, yhonalna
በገዛ, bägäza
እያንዳንዱም, 'yandandum
ወሰዱ, wäsädu
ፈሩ, färu
ሄደው, hedäw
ያም, yam
ታናሽ, tanaš
ይሄዱ, yhedu
በም, bäm
በፍርድ, bäfrd
ይገባል, ygäbal
በሰላም, bäsälam
በልባቸው, bälbačäw
ብርቱ, brtu
መንገሥ, mängäś
ይባላል, ybalal
ጦር, Tor
እንዳዘዘ, 'ndazäzä
ደመና, dämäna
አትፍራ, 'ätfra
ናትና, natna
የተጻፈ, yätäṣafä
ከአሕዛብ, kä'äħzab
የክርስቶስ, yäkrstos
ትቢያ, tbiya
አልዓዛር, 'älʕazar
ድንጋዮች, dngayoč
ያዕቆብን, yaʕqobn
ትልቅ, tlq
ዘዳግም, zädagm
ሁለተኛ, hulätäña
በሬዎች, bärewoč
ስሜ, sme
አልፎ, 'älfo
እሰጥሃለሁ, 'säThalähu
በሁለተኛው, bähulätäñaw
አቀረበ, 'äqäräbä
ደዌ, däwe
ከእናንተም, kä'nantäm
የቀረውም, yäqäräwm
ዮናታንም, yonatanm
ሊሆን, lihon
ሞቱ, motu
በዓለም, bäʕaläm
ይሠራ, yśära
ለራሱ, lärasu
እንግዳ, 'ngda
መልክ, mälk
ይችላል, yčlal
በላዩ, bälayu
በክፉ, bäkfu
ስምህ, smh
እውነተኛ, 'wnätäña
እኔንም, 'nenm
ጻድቃን, ṣadqan
የናስ, yänas
እስራኤልንም, 'sra'elnm
የምድርም, yämdrm
ጽኑዓን, ṣnuʕan
ማዕዘን, maʕzän
ተጽፎአል, täṣfo'äl
ጥበብን, Tbäbn
ኃጢአተኞች, ḫaTi'ätäñoč
አትክልት, 'ätklt
ክፋትን, kfatn
የተቈጠሩት, yätäqʷäTärut
የሚመስል, yämimäsl
መለከት, mäläkät
ዘካርያስ, zäkaryas
እንዳደረገ, 'ndadärägä
ንስሐ, nsħä
በእጄ, bä'ǧe
