word,count,trans
የእስራኤልን, 181, yä'sra'eln
ወንጌል, 180, wängel
በአንድ, 180, bä'änd
በር, 180, bär
እውነት, 179, 'wnät
ባለ, 178, balä
ፍሬ, 178, fre
ሥጋ, 176, śga
ባለው, 173, baläw
በእናንተ, 173, bä'nantä
እንዲሁም, 173, 'ndihum
ርስት, 173, rst
አንዱ, 173, 'ändu
እሳት, 173, 'sat
ነገሠ, 173, nägäśä
አውራ, 172, 'äwra
የወይን, 172, yäwäyn
ም, 172, m
ተስፋ, 171, täsfa
አደረጉ, 171, 'ädärägu
እናንተም, 170, 'nantäm
ሚስት, 169, mist
በአንተ, 169, bä'äntä
በእሳት, 169, bä'sat
ከዚያ, 168, käziya
ቤተ, 168, betä
ልብስ, 167, lbs
ነህ, 165, näh
አምላክህ, 165, 'ämlakh
በሕይወት, 165, bäħywät
ጊዜም, 165, gizem
ስሙ, 164, smu
ይሆናሉ, 164, yhonalu
ይህንም, 163, yhnm
በምድረ, 160, bämdrä
ባሕር, 160, baħr
ዛፍ, 158, zaf
መንግሥት, 158, mängśt
ሕዝቡ, 157, ħzbu
መጽሐፍ, 157, mäṣħäf
ምድረ, 156, mdrä
አሳልፎ, 156, 'äsalfo
በፊቱ, 156, bäfitu
ወጡ, 154, wäTu
ለምን, 154, lämn
ሄዱ, 153, hedu
ባሪያዎች, 153, bariyawoč
ሆንሁ, 153, honhu
አሥር, 153, 'äśr
ተናገረው, 152, tänagäräw
ልጁ, 152, lǧu
ፍርድ, 152, frd
አባት, 150, 'äbat
ለአንተ, 149, lä'äntä
አማልክት, 149, 'ämalkt
ሕዝቡን, 149, ħzbun
ፋንታ, 149, fanta
በእግዚአብሔርም, 148, bä'gzi'äbħerm
ድንጋይ, 148, dngay
ካህኑም, 147, kahnum
ቤቶች, 146, betoč
ሕያው, 146, ħyaw
ሁሉን, 145, hulun
ሠላሳ, 144, śälasa
እስራኤልም, 143, 'sra'elm
ባሪያ, 143, bariya
ሂድ, 142, hid
ይመጣል, 142, ymäTal
ተናገረ, 142, tänagärä
ወንድሞች, 142, wändmoč
እንዲሆን, 141, 'ndihon
ነፍስ, 141, näfs
ወንድ, 141, wänd
1ኛ, 141, 1ña
ጠጅ, 141, Täǧ
ታቦት, 140, tabot
በግ, 140, bäg
በፊትህ, 139, bäfith
ወራት, 139, wärat
ሞተ, 139, motä
አፍ, 137, 'äf
መልአክ, 137, mäl'äk
አርባ, 137, 'ärba
ሆነው, 136, honäw
ሠራ, 136, śära
ሰውም, 136, säwm
ዳርቻ, 136, darča
ኤርምያስ, 136, 'ermyas
ሳለ, 136, salä
ወርቅ, 134, wärq
ሰይፍ, 134, säyf
በእርሱም, 133, bä'rsum
በላይ, 133, bälay
ከሰማይ, 132, käsämay
ሳኦልም, 131, sa'olm
ወዲህ, 131, wädih
ትንቢት, 131, tnbit
አላት, 130, 'älat
አየሁ, 130, 'äyähu
አንቺ, 130, 'änči
ለእኔ, 130, lä'ne
አምሳ, 130, 'ämsa
ሙሴ, 130, muse
አይደለምን, 129, 'äydälämn
ጥቂት, 129, Tqit
መጠን, 129, mäTän
ብለህ, 129, bläh
ቍጣ, 128, qʷTa
ወስዶ, 128, wäsdo
ነበረች, 128, näbäräč
ሁልጊዜ, 127, hulgize
ያህል, 127, yahl
ከእኛ, 127, kä'ña
መሠዊያ, 126, mäśäwiya
አስቀድሞ, 126, 'äsqädmo
2ኛ, 126, 2ña
ብዬ, 125, bye
ሁሉም, 125, hulum
አድርግ, 123, 'ädrg
ተቀመጠ, 123, täqämäTä
ርኩስ, 123, rkus
በሰይፍ, 123, bäsäyf
በጎች, 123, bägoč
እኔን, 123, 'nen
አለች, 122, 'äläč
ይሁዳ, 122, yhuda
ሰቅል, 122, säql
ሰላም, 122, sälam
እላችኋለሁ, 122, 'lačḫʷalähu
ብርሃን, 122, brhan
ዝም, 121, zm
ብዛት, 121, bzat
ተቀመጡ, 121, täqämäTu
ፈጽሞ, 121, fäṣmo
ዙሪያ, 120, zuriya
መጥቶ, 120, mäTto
ዓለም, 119, ʕaläm
ምሳሌ, 119, msale
ለእናንተ, 119, lä'nantä
ልጄ, 119, lǧe
ይዞ, 118, yzo
ክፍል, 117, kfl
ከቶ, 117, käto
ላከ, 117, lakä
በኢየሩሳሌምም, 117, bä'iyärusalemm
ወዴት, 117, wädet
የነበረውን, 116, yänäbäräwn
ሆኑ, 116, honu
ከእንግዲህ, 116, kä'ngdih
ከምድር, 116, kämdr
ጌታዬ, 115, getaye
አደባባይ, 115, 'ädäbabay
ያደርጋል, 114, yadärgal
ሥርዓት, 114, śrʕat
ካህናት, 114, kahnat
ሁለቱ, 114, hulätu
ሌሊት, 114, lelit
ምክንያት, 113, mknyat
ሕይወት, 113, ħywät
ከግብፅ, 113, kägbṩ
አደርጋለሁ, 112, 'ädärgalähu
ሽማግሌዎች, 112, šmaglewoč
መጥተው, 112, mäTtäw
በታላቅ, 112, bätalaq
የወርቅ, 111, yäwärq
በንጉሡ, 111, bänguśu
ገባ, 111, gäba
እርሱን, 111, 'rsun
እስራኤልን, 111, 'sra'eln
ምልክት, 111, mlkt
ከዚህም, 110, käzihm
የይሁዳ, 110, yäyhuda
ለእርሱ, 110, lä'rsu
ከንቱ, 110, käntu
ኃይል, 110, ḫayl
በእጁ, 109, bä'ǧu
ራሱን, 109, rasun
ተብሎ, 109, täblo
እርስዋ, 109, 'rswa
ተመለሱ, 108, tämäläsu
ሰማይ, 108, sämay
ዳዊትን, 108, dawitn
ስንኳ, 108, snkʷa
በግብፅ, 108, bägbṩ
ወንዝ, 108, wänz
እንጨት, 107, 'nČät
አምላኬ, 107, 'ämlake
ውጭ, 107, wČ
ንጹሕ, 107, nṣuħ
በክርስቶስ, 107, bäkrstos
ተነሣ, 107, tänäśa
ትውልድ, 107, twld
በፊት, 107, bäfit
የሆነውን, 106, yähonäwn
እኛም, 106, 'ñam
ጻድቅ, 106, ṣadq
ይሆን, 105, yhon
ይኖራል, 105, ynoral
ሰፈሩ, 105, säfäru
አይሁድ, 105, 'äyhud
አልነበረም, 103, 'älnäbäräm
ይቅር, 103, yqr
እነዚህን, 103, 'näzihn
ኢያሱ, 103, 'iyasu
እንደዚህ, 103, 'ndäzih
ሠራዊት, 102, śärawit
እንዳለ, 102, 'ndalä
ካህኑ, 102, kahnu
በምድርም, 102, bämdrm
ብላ, 102, bla
ወጥቶ, 102, wäTto
ሸለቆ, 102, šäläqo
ያሉትን, 102, yalutn
በአሕዛብ, 101, bä'äħzab
ወሰደ, 101, wäsädä
ቍጥር, 101, qʷTr
ይህች, 101, yhč
ዘር, 101, zär
እጁን, 101, 'ǧun
አልሁ, 101, 'älhu
አንዳች, 101, 'ändač
መከራ, 100, mäkära
በሰማይ, 100, bäsämay
ሳሙኤል, 100, samu'el
ፈቀቅ, 99, fäqäq
ሰጣቸው, 99, säTačäw
ቆሞ, 98, qomo
በሉ, 98, bälu
መቅደስ, 98, mäqdäs
እያሉ, 98, 'yalu
ማዶ, 98, mado
ያዕቆብም, 98, yaʕqobm
አንዲት, 97, 'ändit
ብር, 97, br
ያን, 97, yan
በኢየሱስ, 97, bä'iyäsus
እግዚአብሔርንም, 96, 'gzi'äbħernm
የነበሩትን, 96, yänäbärutn
ዳር, 96, dar
ጉባኤ, 96, guba'e
መዛሙርቱ, 96, mäzamurtu
ሞት, 96, mot
በሰው, 96, bäsäw
ያ, 95, ya
ሰዎችም, 95, säwočm
መስፈሪያ, 95, mäsfäriya
አለችው, 95, 'äläčw
እያንዳንዱ, 94, 'yandandu
ሰሎሞን, 94, sälomon
የሚል, 94, yämil
ሰጠው, 94, säTäw
በል, 94, bäl
ተቀምጦ, 94, täqämTo
ይዘው, 93, yzäw
ዓይን, 93, ʕayn
የነበሩ, 93, yänäbäru
በፊቴ, 93, bäfite
በአሥራ, 93, bä'äśra
ኢያሱም, 92, 'iyasum
ነፋስ, 92, näfas
አንተን, 92, 'äntän
ፈቃድ, 92, fäqad
ያሉት, 91, yalut
በአንድነት, 91, bä'ändnät
ነውን, 91, näwn
በእነርሱ, 91, bä'närsu
በመሠዊያው, 91, bämäśäwiyaw
አየ, 91, 'äyä
ቀንም, 91, qänm
ነፍሴ, 90, näfse
ነን, 90, nän
ነገርን, 90, nägärn
ምስክር, 90, mskr
አድርገው, 90, 'ädrgäw
በመንገድ, 90, bämängäd
የምድር, 90, yämdr
በዚህም, 89, bäzihm
በብዙ, 89, bäbzu
ባድማ, 89, badma
በጌታ, 89, bägeta
ካህን, 89, kahn
ምድርን, 88, mdrn
ተነሥቶ, 88, tänäśto
እነዚህም, 88, 'näzihm
ክፋት, 88, kfat
በእስራኤልም, 87, bä'sra'elm
ዘይት, 87, zäyt
አሳብ, 87, 'äsab
ሰዓት, 86, säʕat
መለሰ, 86, mäläsä
ይላሉ, 86, ylalu
አምላካችን, 86, 'ämlakačn
አዘዘ, 86, 'äzäzä
ለንጉሡ, 85, länguśu
ምድርም, 85, mdrm
መቼ, 85, mäče
ስማ, 85, sma
በሕዝቡ, 85, bäħzbu
ወደዚህ, 85, wädäzih
የእግዚአብሔርንም, 85, yä'gzi'äbħernm
ወገኖች, 85, wägänoč
ሰሎሞንም, 84, sälomonm
ናችሁ, 84, načhu
ጠርቶ, 84, Tärto
ስምንት, 84, smnt
ሰልፍ, 84, sälf
በከንቱ, 84, bäkäntu
ቅን, 84, qn
ኃጢአትን, 83, ḫaTi'ätn
ነኝና, 83, näñna
ቅጥር, 83, qTr
የዘላለም, 82, yäzälaläm
አድርጉ, 82, 'ädrgu
ኢሳይያስ, 82, 'isayyas
የነበሩት, 82, yänäbärut
ጥበብ, 82, Tbäb
ቤቱ, 81, betu
ያሉ, 81, yalu
በባሕር, 81, bäbaħr
ሰውን, 81, säwn
ሂዱ, 81, hidu
ታውቃላችሁ, 81, tawqalačhu
ራእይ, 81, ra'y
አንዱን, 80, 'ändun
ሰባ, 80, säba
አምላካችሁ, 80, 'ämlakačhu
ካለው, 80, kaläw
ለዳዊት, 80, lädawit
በሌሊት, 79, bälelit
ወዲያ, 79, wädiya
ጸጋ, 79, ṣäga
ወይን, 79, wäyn
ባሪያህ, 79, bariyah
በእጅህ, 79, bä'ǧh
በቤቱ, 78, bäbetu
በመንፈስ, 78, bämänfäs
ወዳለው, 78, wädaläw
ና, 78, na
ደጅ, 78, däǧ
ወረደ, 78, wärädä
ከእስራኤልም, 77, kä'sra'elm
ዮሴፍም, 77, yosefm
ሥልጣን, 77, ślTan
ነውር, 77, näwr
የዚያን, 76, yäziyan
ነገሥት, 76, nägäśt
እርሻ, 76, 'rša
በራሱ, 76, bärasu
ከይሁዳ, 76, käyhuda
ጳውሎስ, 76, Pawlos
በስተ, 76, bästä
ዕለት, 76, ʕlät
በውኃ, 76, bäwḫa
ጽድቅ, 76, ṣdq
የሚቃጠለውን, 75, yämiqaTäläwn
ዳሩ, 75, daru
ግንብ, 75, gnb
አንዱም, 75, 'ändum
በልቡ, 74, bälbu
በሆነ, 74, bähonä
ነፍሴን, 74, näfsen
ይሁኑ, 74, yhunu
የተቀደሰ, 74, yätäqädäsä
መዋዕል, 74, mäwaʕl
ዜና, 74, zena
ለሰው, 74, läsäw
ባየ, 74, bayä
ናቸውና, 74, načäwna
ፍቅር, 73, fqr
ቆመው, 73, qomäw
እጅግም, 73, 'ǧgm
በዮርዳኖስ, 73, bäyordanos
ሳሙኤልም, 73, samu'elm
ጕድጓድ, 73, gʷdgʷad
ለፊት, 73, läfit
ቢኖር, 73, binor
ደስታ, 73, dästa
በትር, 72, bätr
ሁለቱን, 72, hulätun
ልዩ, 72, lyu
ራሱ, 72, rasu
ልብሱን, 72, lbsun
ነቢይ, 72, näbiy
ቦታ, 72, bota
በዓል, 72, bäʕal
በእኛ, 72, bä'ña
ወንድም, 71, wändm
ለሕዝቡ, 71, läħzbu
ባቢሎን, 71, babilon
በደል, 71, bädäl
ይወጣል, 71, ywäTal
ሰጠ, 71, säTä
እባክህ, 71, 'bakh
መብል, 71, mäbl
በፍጹም, 71, bäfṣum
ኃያላን, 71, ḫayalan
አሳልፌ, 71, 'äsalfe
አባቴ, 71, 'äbate
ሆነች, 70, honäč
ደጃፍ, 70, däǧaf
ቀኝ, 70, qäñ
ፍርድን, 70, frdn
የብር, 70, yäbr
ዙፋን, 70, zufan
የነበረው, 70, yänäbäräw
በፊታቸው, 70, bäfitačäw
ቃሉን, 70, qalun
ቅዱሳን, 70, qdusan
እንዳዘዘው, 70, 'ndazäzäw
ልጁን, 69, lǧun
ነበሩት, 69, näbärut
ይሁዳም, 69, yhudam
ወንዶች, 69, wändoč
ይህችን, 69, yhčn
ምክር, 69, mkr
ከሆነ, 69, kähonä
ወደዚያ, 69, wädäziya
እግር, 69, 'gr
ብዙዎች, 69, bzuwoč
ተናገር, 69, tänagär
ንጉሡን, 69, nguśun
እርሱንም, 69, 'rsunm
ከግብጽ, 68, kägbṣ
ልጆችም, 68, lǧočm
ይሰጣል, 68, ysäTal
ሳኦል, 67, sa'ol
ተናገሩ, 67, tänagäru
ኢየሱስን, 67, 'iyäsusn
ምርኮ, 67, mrko
ትሆናለች, 67, thonaläč
የሚሆን, 67, yämihon
ከሰው, 67, käsäw
በርሳቸው, 67, bärsačäw
በመካከላቸው, 66, bämäkakälačäw
ሁለቱም, 66, hulätum
በሰማ, 66, bäsäma
የሚያደርግ, 66, yämiyadärg
ሰማ, 66, säma
መዝሙረ, 66, mäzmurä
ገንዘብ, 66, gänzäb
ከእርስዋ, 65, kä'rswa
ገቡ, 65, gäbu
ጮኸ, 65, ČoKä
በላቸው, 65, bälačäw
ተመለሰ, 65, tämäläsä
ውሰድ, 65, wsäd
ዕጣ, 65, ʕTa
ዛሬም, 65, zarem
አዲስ, 64, 'ädis
መቃብር, 64, mäqabr
ስጦታ, 64, sTota
ስድሳ, 64, sdsa
አይሆንም, 64, 'äyhonm
መዛሙርቱም, 64, mäzamurtum
ያውቃሉ, 63, yawqalu
መጀመሪያ, 63, mäǧämäriya
ጠቦት, 63, Täbot
ኑ, 63, nu
ርኵሰት, 63, rkʷsät
ተነሡ, 63, tänäśu
ገብቶ, 63, gäbto
አንበሳ, 63, 'änbäsa
ወንዶችና, 63, wändočna
አም, 63, 'äm
ቃሌን, 63, qalen
አሜን, 63, 'ämen
በእርስዋም, 63, bä'rswam
ከሕዝቡ, 63, käħzbu
የሚችል, 63, yämičl
ጭፍራ, 62, Čfra
ጣፋጭ, 62, TafaČ
አውቃለሁ, 62, 'äwqalähu
ምናልባት, 62, mnalbat
አሮንም, 62, 'äronm
ሳሉ, 62, salu
የዮሐንስ, 62, yäyoħäns
ለእግዚአብሔርም, 62, lä'gzi'äbħerm
ጨለማ, 62, Čäläma
በመገናኛው, 61, bämägänañaw
አለን, 61, 'älän
ማኅበር, 61, maḫbär
ነበረና, 61, näbäräna
ሜዳ, 61, meda
መግቢያ, 61, mägbiya
ያደረገውን, 61, yadärägäwn
ያዕቆብ, 61, yaʕqob
አይቶ, 61, 'äyto
እላለሁ, 61, 'lalähu
ጆሮ, 61, ǧoro
በዳዊት, 61, bädawit
ሰደደ, 61, sädädä
የዳዊት, 61, yädawit
ጀመር, 60, ǧämär
ነቢያት, 60, näbiyat
የይሁዳም, 60, yäyhudam
የአንድ, 60, yä'änd
ተሰበሰቡ, 60, täsäbäsäbu
ልጁም, 60, lǧum
በእምነት, 60, bä'mnät
ዋጋ, 60, waga
ገደለ, 60, gädälä
ባዩ, 60, bayu
እድል, 60, 'dl
ጥላ, 59, Tla
በእርስዋ, 59, bä'rswa
መጋረጃ, 59, mägaräǧa
አድርጌ, 59, 'ädrge
ተነሥተው, 59, tänäśtäw
ዘፍጥረት, 59, zäfTrät
ሰላምታ, 59, sälamta
ሕዝቅኤል, 59, ħzq'el
ጋሻ, 59, gaša
ሕዝቡንም, 59, ħzbunm
እሰጣለሁ, 59, 'säTalähu
ዮሐንስ, 59, yoħäns
በዙሪያው, 58, bäzuriyaw
ሁላችሁ, 58, hulačhu
ተናገራቸው, 58, tänagäračäw
ድንበር, 58, dnbär
ጴጥሮስም, 58, PeTrosm
ቆመ, 58, qomä
ሌዋውያን, 58, lewawyan
አራዊት, 58, 'ärawit
በእርግጥ, 58, bä'rgT
መታ, 58, mäta
የበግ, 58, yäbäg
መሥዋዕትና, 58, mäśwaʕtna
ከሁሉ, 58, kähulu
ሰዎችን, 58, säwočn
አብ, 58, 'äb
በመጣ, 58, bämäTa
ልጅም, 58, lǧm
ተራሮች, 58, täraroč
ጽኑ, 57, ṣnu
ፀሐይ, 57, ṩäħäy
ሰማሁ, 57, sämahu
ወለደች, 57, wälädäč
ጠጕር, 57, Tägʷr
ጠራው, 57, Täraw
ሰማያት, 57, sämayat
አሕዛብን, 57, 'äħzabn
እንስሳ, 57, 'nssa
የሚሆነውን, 57, yämihonäwn
የኢየሱስ, 57, yä'iyäsus
ግብጽ, 57, gbṣ
ፈርዖንም, 57, färʕonm
በሰሙ, 57, bäsämu
በእነርሱም, 57, bä'närsum
ጮኹ, 57, ČoKu
ወደቀ, 57, wädäqä
የባቢሎን, 56, yäbabilon
ይወድቃሉ, 56, ywädqalu
በምን, 56, bämn
ቅሬታ, 56, qreta
በጎ, 56, bägo
ወሬ, 56, wäre
ዱቄት, 56, duqet
ነበረው, 56, näbäräw
አገልግሎት, 56, 'ägälglot
ሁሉንም, 56, hulunm
በሙሴ, 56, bämuse
ካህናቱም, 56, kahnatum
ድሀ, 56, dhä
ሁለተኛው, 56, hulätäñaw
እሄዳለሁ, 56, 'hedalähu
አሮንን, 55, 'äronn
ታሪክ, 55, tarik
የታመነ, 55, yätamänä
ሳይሆን, 55, sayhon
የእሳት, 55, yä'sat
ያደርግ, 55, yadärg
ከኢየሩሳሌም, 55, kä'iyärusalem
ማናቸውም, 55, manačäwm
አሕዛብም, 55, 'äħzabm
ከእኔም, 55, kä'nem
ተባት, 55, täbat
ሁኑ, 55, hunu
ወጥተው, 55, wäTtäw
በመልካም, 55, bämälkam
አጠፋለሁ, 55, 'äTäfalähu
መምህር, 55, mämhr
መክሊት, 54, mäklit
ይመጣሉ, 54, ymäTalu
ሰፈር, 54, säfär
ጴጥሮስ, 54, PeTros
በየወገናቸው, 54, bäyäwägänačäw
ጥፋት, 54, Tfat
ነገ, 54, nägä
የሆነው, 54, yähonäw
አባቱ, 54, 'äbatu
ተጻፈ, 53, täṣafä
ዘላለም, 53, zälaläm
አብርሃምም, 53, 'äbrhamm
በአንቺ, 53, bä'änči
አስብ, 53, 'äsb
ደረሰ, 53, däräsä
እንቢ, 53, 'nbi
በሰሜን, 53, bäsämen
ዳግመኛ, 53, dagmäña
ሠሩ, 53, śäru
ፍየል, 53, fyäl
በመጀመሪያው, 53, bämäǧämäriyaw
ሕዝቤ, 53, ħzbe
በኵር, 53, bäkʷr
ይለዋል, 53, yläwal
ዮሴፍ, 52, yosef
ለልጅ, 52, lälǧ
እጅህን, 52, 'ǧhn
ኢዮብ, 52, 'iyob
ዳንኤል, 52, dan'el
በግብጽ, 52, bägbṣ
አመጡ, 52, 'ämäTu
ፍልስጥኤማውያንም, 52, flsT'emawyanm
በደቡብ, 52, bädäbub
ን, 52, n
ሙሉ, 52, mulu
የተሠራ, 52, yätäśära
ካህናቱ, 52, kahnatu
ስብ, 52, sb
ሸሹ, 52, šäšu
እምነት, 52, 'mnät
ኢዮአብም, 52, 'iyo'äbm
ነፍሱን, 52, näfsun
ብላችሁ, 52, blačhu
ታላቁ, 52, talaqu
መሰምርያዋን, 52, mäsämryawan
የሆኑ, 51, yähonu
ቆሙ, 51, qomu
በእጃቸው, 51, bä'ǧačäw
ይላልና, 51, ylalna
ጠቦቶች, 51, Täbotoč
የእስራኤልንም, 51, yä'sra'elnm
ምንጭ, 51, mnČ
ፍርሃት, 51, frhat
በርሳችሁ, 51, bärsačhu
ወይፈን, 51, wäyfän
ይጠፋል, 51, yTäfal
ወደቁ, 51, wädäqu
የጌታ, 51, yägeta
ላሉት, 51, lalut
በሁሉ, 51, bähulu
ዘወር, 51, zäwär
በይሁዳም, 51, bäyhudam
ታደርጋለህ, 51, tadärgaläh
ወፎች, 51, wäfoč
አለቆችና, 51, 'äläqočna
ሆናችሁ, 50, honačhu
ነቢዩ, 50, näbiyu
ዛፎች, 50, zafoč
ተቀምጠው, 50, täqämTäw
የይሁዳን, 50, yäyhudan
በላያቸው, 50, bälayačäw
ይሄዳል, 50, yhedal
የሚኖሩ, 50, yäminoru
የሚቃጠል, 50, yämiqaTäl
አብርሃም, 50, 'äbrham
አለፈ, 50, 'äläfä
ክርስቲያን, 50, krstiyan
ዘጸአት, 50, zäṣä'ät
ሙሴና, 50, musena
ጠብቅ, 50, Täbq
እጁንም, 50, 'ǧunm
ወልደ, 50, wäldä
እለምንሃለሁ, 50, 'lämnhalähu
ከአባቶቹ, 49, kä'äbatoču
ፈንታ, 49, fänta
ብቻውን, 49, bčawn
